61,h2o_hmp_Std(1),h2o_hmp_Std(1),h2o_hmp_Std(1),h2o_hmp_Std,h2o_hmp_Std
62,t_hmp_Std(1),t_hmp_Std(1),t_hmp_Std(1),t_hmp_Std,t_hmp_Std
63,std_wnd_dir(1),std_wnd_dir(1),std_wnd_dir(1),std_wnd_dir,std_wnd_dir
64,n_Tot,n_Tot,n_Tot,n_Tot,n_Tot
65,csat_warnings,csat_warning_Tot(1),csat_warnings,csat_warning_Tot,csat_warnings
66,irga_warnings,irga_warning_Tot(1),irga_warnings,irga_warning_Tot,irga_warnings
67,del_T_f_Tot(1),del_T_f_Tot(1),del_T_f_Tot(1),del_T_f_Tot,del_T_f_Tot
68,track_f_Tot(1),track_f_Tot(1),track_f_Tot(1),track_f_Tot,track_f_Tot
69,amp_h_f_Tot(1),amp_h_f_Tot(1),amp_h_f_Tot(1),amp_h_f_Tot,amp_h_f_Tot
70,amp_l_f_Tot(1),amp_l_f_Tot(1),amp_l_f_Tot(1),amp_l_f_Tot,amp_l_f_Tot
71,chopper_f_Tot(1),chopper_f_Tot(1),chopper_f_Tot(1),chopper_f_Tot,chopper_f_Tot
72,detector_f_Tot(1),detector_f_Tot(1),detector_f_Tot(1),detector_f_Tot,detector_f_Tot
73,pll_f_Tot(1),pll_f_Tot(1),pll_f_Tot(1),pll_f_Tot,pll_f_Tot
74,sync_f_Tot(1),sync_f_Tot(1),sync_f_Tot(1),sync_f_Tot,sync_f_Tot
75,agc_Avg(1),agc_Avg(1),agc_Avg(1),agc_Avg,agc_Avg
76,hfp01sc_1_Avg(1),hfp01sc_1_Avg(1),hfp01sc_1_Avg(1),hfp01sc_1_Avg(1),hfp01sc_1_Avg
77,hfp01sc_2_Avg(1),hfp01sc_2_Avg(1),hfp01sc_2_Avg(1),hfp01sc_2_Avg(1),hfp01sc_2_Avg
78,hfp01sc_3_Avg(1),hfp01sc_3_Avg(1),hfp01sc_3_Avg(1),hfp01sc_3_Avg(1),hfp01sc_3_Avg
79,hfp01sc_4_Avg(1),hfp01sc_4_Avg(1),hfp01sc_4_Avg(1),hfp01sc_4_Avg(1),hfp01sc_4_Avg
80,del_Tsoil(1),del_Tsoil(1),del_Tsoil(1),del_Tsoil(1),del_Tsoil(1)[1]
81,del_Tsoil(2),del_Tsoil(2),del_Tsoil(2),del_Tsoil(2),del_Tsoil(2)[2]
