5,12,13.5
6,12,28
7,-30,35
8,15,103
9,950,1050
10,0,200
11,-5,2500
12,-0.1,250
13,-5,1500
14,-5,1000
15,-5,250
16,100,550
17,100,550
18,-5,1200
19,-150,40
20,-1,100
21,-150,1000
22,-0.5,0.8
23,-0.5,0.8
24,-0.5,0.8
25,-0.5,0.8
26,-0.05,70
27,-0.05,360
28,-0.05,360
29,40,600
30,40,600
31,40,600
32,40,600
33,40,600
34,40,600
35,40,600
36,40,600
37,40,600
38,40,600
39,40,600
40,40,600
41,0,80
42,0,80
43,0,80
44,0,80
45,0,80
46,0,80
47,0,80
48,0,80
49,0,80
50,0,80
51,0,80
52,0,80
53,0,0.5
54,-1000,1000
55,-6.5,30
56,0,0.5
57,-1000,1000
58,-6.5,30
59,0,0.5
60,-1000,1000
61,-6.5,30
62,0,0.5
63,-1000,1000
64,-6.5,30
65,0,0.5
66,-1000,1000
67,-6.5,30
68,0,0.5
69,-1000,1000
70,-6.5,30
71,0,0.5
72,-1000,1000
73,-6.5,30
74,0,0.5
75,-1000,1000
76,-6.5,30
77,0,0.5
78,-1000,1000
79,-6.5,30
80,0,0.5
81,-1000,1000
82,-6.5,30
83,0,0.5
84,-1000,1000
85,-6.5,30
86,0,0.5
87,-1000,1000
88,-6.5,30
89,-0.05,60
