Year,Year,Year,Year,Year,NaN,NaN,Year,Year,Year,Year,Year
dcdt_1h_CPEC,umol/m2/s,dcdt_1h,cpec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dcdt_2h_CPEC,umol/m2/s,dcdt_2h,cpec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LE_CPEC,W/m2,LE_cleaned,cpec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H_CPEC,W/m2,Hs_cleaned,cpec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ustar_CPEC,m/s,Ustar,cpec,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H2O_CPEC,mmol/mol,H2O_irga,cpec,Final_Cleaned,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SensibleHeatStorageFlux_AbvCnpy_GndtoTop,W/m2,Jtfill,cpec,Final_Calculated,Flx2,%7.3f,Jt,Jt,NaN,NaN,NaN
SoilHeatFlux_0cm,W/m2,SoilHeatFlux,met,Calculated4,Flx2,%7.3f,SHF,SHF,NaN,NaN,NaN
APAR,umol/m2/s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FPAR,%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NetRad_AbvCnpy,W/m2,NetRad_AbvCnpy,met,Final_Cleaned,Met2,%7.3f,Rn,Rn,Rn,NaN,NaN
DownPAR_AbvCnpy,umol/m2/s,DownPAR_AbvCnpy,met,Final_Cleaned,Met2,%8.3f,NaN,NaN,NaN,NaN,NaN
UpPAR_AbvCnpy,umol/m2/s,UpPAR_AbvCnpy,met,Final_Cleaned,Met2,%8.3f,NaN,NaN,NaN,NaN,NaN
DownPAR_BlwCnpy,umol/m2/s,DownPAR_BlwCnpy_2m,met,Final_Cleaned,Met2,%8.3f,NaN,NaN,NaN,NaN,NaN
AirTemp_AbvCnpy,degC,AirTemp_AbvCnpy,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN
RelHum_AbvCnpy,%,RelHum_AbvCnpy,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN
WindSpd_AbvCnpy,m/s,WindSpd,met,Final_Cleaned,Met2,%6.3f,NaN,NaN,NaN,NaN,NaN
WindDir_AbvCnpy,deg,WindDir,met,Final_Cleaned,Met2,%7.3f,W_Dir,W_Dir,W_Dir,W_Dir,W_Dir
SurfPress,kPa,Pressure,met,Final_Cleaned,Met2,%7.3f,APR,APR,NaN,NaN,NaN
SoilTemp_A_2cm,degC,SoilTemp_A_2cm,met,Final_Cleaned,Met2,%6.3f,Ts2cmA,Ts2cmA,NaN,NaN,Ts2cmA
SoilTemp_A_5cm,degC,SoilTemp_A_5cm,met,Final_Cleaned,Met2,%6.3f,Ts5cmA,Ts5cmA,NaN,NaN,Ts5cmA
SoilTemp_A_10cm,degC,SoilTemp_A_10cm,met,Final_Cleaned,Met2,%6.3f,Ts10cmA,Ts10cmA,NaN,NaN,Ts10cmA
SoilTemp_A_20cm,degC,SoilTemp_A_20cm,met,Final_Cleaned,Met2,%6.3f,Ts20cmA,Ts20cmA,NaN,NaN,Ts20cmA
SoilTemp_A_50cm,degC,SoilTemp_A_50cm,met,Final_Cleaned,Met2,%6.3f,Ts50cmA,Ts50cmA,NaN,NaN,Ts50cmA
SoilTemp_A_100cm,degC,SoilTemp_A_100cm,met,Final_Cleaned,Met2,%6.3f,Ts100cmA,Ts100cmA,NaN,NaN,Ts100cmA
SoilTemp_B_2cm,degC,SoilTemp_B_2cm,met,Final_Cleaned,Met2,%6.3f,Ts2cmB,Ts2cmB,NaN,NaN,Ts2cmB
SoilTemp_B_5cm,degC,SoilTemp_B_5cm,met,Final_Cleaned,Met2,%6.3f,Ts5cmB,Ts5cmB,NaN,NaN,Ts5cmB
SoilTemp_B_10cm,degC,SoilTemp_B_10cm,met,Final_Cleaned,Met2,%6.3f,Ts10cmB,Ts10cmB,NaN,NaN,Ts10cmB
SoilTemp_B_20cm,degC,SoilTemp_B_20cm,met,Final_Cleaned,Met2,%6.3f,Ts20cmB,Ts20cmB,NaN,NaN,Ts20cmB
SoilTemp_B_50cm,degC,SoilTemp_B_50cm,met,Final_Cleaned,Met2,%6.3f,Ts50cmB,Ts50cmB,NaN,NaN,Ts50cmB
SoilTemp_B_100cm,degC,SoilTemp_B_100cm,met,Final_Cleaned,Met2,%6.3f,Ts100cmB,Ts100cmB,NaN,NaN,Ts100cmB
SWP_A_2cm,kPa,SWP_A_2cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP2cmA
SWP_A_5cm,kPa,SWP_A_5cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP5cmA
SWP_A_10cm,kPa,SWP_A_10cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP10cmA
SWP_A_20cm,kPa,SWP_A_20cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP20cmA
SWP_A_50cm,kPa,SWP_A_50cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP50cmA
SWP_A_100cm,kPa,SWP_A_100cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP100cmA
SWP_B_2cm,kPa,SWP_B_2cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP2cmB
SWP_B_5cm,kPa,SWP_B_5cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP5cmB
SWP_B_10cm,kPa,SWP_B_10cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP10cmB
SWP_B_20cm,kPa,SWP_B_20cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP20cmB
SWP_B_50cm,kPa,SWP_B_50cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP50cmB
SWP_B_100cm,kPa,SWP_B_100cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP100cmB
VWC_A_2cm,m3/m3,SM_A_2cm,met,Final_Cleaned,SM2,%6.4f,SM2cmA,SM2cmA,NaN,NaN,SM2cmA
VWC_A_5cm,m3/m3,SM_A_5cm,met,Final_Cleaned,SM2,%6.4f,SM5cmA,SM5cmA,NaN,NaN,SM5cmA
VWC_A_10cm,m3/m3,SM_A_10cm,met,Final_Cleaned,SM2,%6.4f,SM10cmA,SM10cmA,NaN,NaN,SM10cmA
VWC_A_20cm,m3/m3,SM_A_20cm,met,Final_Cleaned,SM2,%6.4f,SM20cmA,SM20cmA,NaN,NaN,SM20cmA
VWC_A_50cm,m3/m3,SM_A_50cm,met,Final_Cleaned,SM2,%6.4f,SM50cmA,SM50cmA,NaN,NaN,SM50cmA
VWC_A_100cm,m3/m3,SM_A_100cm,met,Final_Cleaned,SM2,%6.4f,SM100cmA,SM100cmA,NaN,NaN,SM100cmA
VWC_B_2cm,m3/m3,SM_B_2cm,met,Final_Cleaned,SM2,%6.4f,SM2cmB,SM2cmB,NaN,NaN,SM2cmB
VWC_B_5cm,m3/m3,SM_B_5cm,met,Final_Cleaned,SM2,%6.4f,SM5cmB,SM5cmB,NaN,NaN,SM5cmB
VWC_B_10cm,m3/m3,SM_B_10cm,met,Final_Cleaned,SM2,%6.4f,SM10cmB,SM10cmB,NaN,NaN,SM10cmB
VWC_B_20cm,m3/m3,SM_B_20cm,met,Final_Cleaned,SM2,%6.4f,SM20cmB,SM20cmB,NaN,NaN,SM20cmB
VWC_B_50cm,m3/m3,SM_B_50cm,met,Final_Cleaned,SM2,%6.4f,SM50cmB,SM50cmB,NaN,NaN,SM50cmB
VWC_B_100cm,m3/m3,SM_B_100cm,met,Final_Cleaned,SM2,%6.4f,SM100cmB,SM100cmB,NaN,NaN,SM100cmB
AirTemp_AbvCnpy,degC,AirTemp_AbvCnpy,met,Final_Filled,Met3,%6.3f,Ta,Ta,Ta,Ta,Ta
RelHum_AbvCnpy,%,RelHum_AbvCnpy,met,Final_Filled,Met3,%7.3f,RH,RH,RH,RH,RH
DownPAR_AbvCnpy,umol/m2/s,DownPAR_AbvCnpy,met,Final_Filled,Met3,%8.3f,PAR,PAR,PAR,PAR,PAR
WindSpd_AbvCnpy,m/s,WindSpd,met,Final_Filled,Met3,%6.3f,WS,WS,WS,WS,WS
SurfPress,kPa,Pressure,met,Final_Filled,Met3,%7.3f,APR,APR,APR,APR,APR
NetRad_AbvCnpy,W/m2,NetRad_AbvCnpy,met,Final_Filled,Met3,%7.3f,Rn_filled,Rn_filled,Rn_filled,NaN,Rn_filled
CNR1_GlobalShortwaveRad_AbvCnpy,W/m2,DownShortWaveRad_Abv_Cnpy,met,Final_Filled,Met3,%8.3f,NaN,NaN,NaN,NaN,NaN
SoilTemp_2cm,degC,SoilTemp_2cm,met,Final_Filled,Met3,%6.3f,Ts2,Ts2,Ts2,Ts2,Ts2
SoilTemp_5cm,degC,SoilTemp_5cm,met,Final_Filled,Met3,%6.3f,Ts5,Ts5,Ts5,Ts5,Ts5
