TreeTemp_Tree7_19BmedBN,C,TreeTemp_Tree7_19BmedBN,met,Final_Cleaned,,
TreeTemp_Tree8_19Bmed,C,TreeTemp_Tree8_19Bmed,met,Final_Cleaned,,
TreeTemp_Tree9_19BmedBC,C,TreeTemp_Tree9_19BmedBC,met,Final_Cleaned,,
TreeTemp_Tree10_19BmedBS,C,TreeTemp_Tree10_19BmedBS,met,Final_Cleaned,,
TreeTemp_Tree11_19BmedBQS,C,TreeTemp_Tree11_19BmedBQS,met,Final_Cleaned,,
TreeTemp_Tree12_29BmedTN,C,TreeTemp_Tree12_29BmedTN,met,Final_Cleaned,,
TreeTemp_Tree13_29BmedTQN,C,TreeTemp_Tree13_29BmedTQN,met,Final_Cleaned,,
TreeTemp_Tree14_29BmedTC,C,TreeTemp_Tree14_29BmedTC,met,Final_Cleaned,,
TreeTemp_Tree15_29BmedTS,C,TreeTemp_Tree15_29BmedTS,met,Final_Cleaned,,
TreeTemp_Tree16_29BmedTQS,C,TreeTemp_Tree16_29BmedTQS,met,Final_Cleaned,,
TreeTemp_Tree17_17minBH,C,TreeTemp_Tree17_17minBH,met,Final_Cleaned,,
TreeTemp_Tree18_17minBC,C,TreeTemp_Tree18_17minBC,met,Final_Cleaned,,
TreeTemp_Tree19_17minBS,C,TreeTemp_Tree19_17minBS,met,Final_Cleaned,,
TreeTemp_Tree20_27AminTN,C,TreeTemp_Tree20_27AminTN,met,Final_Cleaned,,
TreeTemp_Tree21_27Amin,C,TreeTemp_Tree21_27Amin,met,Final_Cleaned,,
TreeTemp_Tree22_27Amin,C,TreeTemp_Tree22_27Amin,met,Final_Cleaned,,
Tair_2m_filled,C,AirTemp_AbvCnpy,met,Final_Filled,Ta,Ta
RH_2m_filled,%,RelHum_AbvCnpy,met,Final_Filled,RH,RH
PARdown_2m_filled,umol.m-2.s-1,DownPAR_AbvCnpy,met,Final_Filled,PAR,PAR
WS_filled,m.s-1,WindSpd,met,Final_Filled,WS,WS
APR_filled,kPa,Pressure,met,Final_Filled,APR,APR
Ts_2cm_avg,C,SoilTemp_2cm,met,Final_Filled,Ts2,Ts2
Ts_5cm_avg,C,SoilTemp_5cm,met,Final_Filled,Ts5,Ts5
Ts_10cm_avg,C,SoilTemp_10cm,met,Final_Filled,Ts10,Ts10
Ts_20cm_avg,C,SoilTemp_20cm,met,Final_Filled,Ts20,Ts20
Ts_50cm_avg,C,SoilTemp_50cm,met,Final_Filled,Ts50,Ts50
Ts_100cm_avg,C,SoilTemp_100cm,met,Final_Filled,Ts100,Ts100
SM_A_avg,% volume,SM_A_30_avg,met,Final_Filled,SM_a,SM_a
SM_B_avg,% volume,SM_B_30_avg,met,Final_Filled,SM_b,SM_b
GEONOR_PPT,mm,.GEO_PPT,ppt,Final_Filled,GEO_PPT,GEO_PPT
Lwdown_14m,W.m-2,DownLongwaveRad_BlwCnpy,met,Final_Cleaned,,
Lwup_14m,W.m-2,UpLongwaveRad_BlwCnpy,met,Final_Cleaned,,
SnowDepth,m,SnowDepth,met,Final_Cleaned,,Snow_Depth
NEE_OPEC,,.NEE_raw,opec,,NEE_OPEC,
GEP_filled_OPEC,,,opec,,,
R_filled_OPEC,,,opec,,,
NEE_filled_OPEC,,,opec,,,
FC_OPEC,,Fc,opec,,,
CO2_OPEC,,CO2_irga,opec,,,
SFC_OPEC,,.dcdt,opec,,,
LE_OPEC,,,opec,,LE_OPEC,
H_OPEC,,,opec,,H_OPEC,
LE_filled_OPEC,,,opec,,,
H_filled_OPEC,,,opec,,,
Ustar_OPEC,,Ustar,opec,,Ustar_OPEC,
H2O_OPEC,,H2O_irga,opec,,,
