Year,,
Month,,
Day,,
Hour,,
Minute,,
DTIME,,
Schuepp_80flag,,
Schuepp_85flag,,
Schuepp_90flag,,
GEP_filled_New_FCRN,GapFilledFCRN_GEP,Flux3
R_filled_New_FCRN,GapFilledFCRN_R,Flux3
NEE_filled_New_FCRN,GapFilledFCRN_NEP,Flux3
GEP_filled_New_ANN,GapFilledANN_GEP,Flux3
R_filled_New_ANN,GapFilledANN_R,Flux3
NEE_filled_New_ANN,GapFilledANN_NEP,Flux3
GEP_filled_Old,GapFilledPIPref_GEP_Old,Flux3
R_filled_Old,GapFilledPIPref_R_Old,Flux3
NEE_filled_Old,GapFilledPIPref_NEP_Old,Flux3
