Year,Year,Year,Year,Year,NaN,NaN,Year,Year,Year,Year,Year
SoilTemp_A_20cm,degC,SoilTemp_A_20cm,met,Final_Cleaned,Met2,%6.3f,Ts20cmA,Ts20cmA,NaN,NaN,Ts20cmA
SoilTemp_A_50cm,degC,SoilTemp_A_50cm,met,Final_Cleaned,Met2,%6.3f,Ts50cmA,Ts50cmA,NaN,NaN,Ts50cmA
SoilTemp_A_100cm,degC,SoilTemp_A_100cm,met,Final_Cleaned,Met2,%6.3f,Ts100cmA,Ts100cmA,NaN,NaN,Ts100cmA
SoilTemp_B_2cm,degC,SoilTemp_B_2cm,met,Final_Cleaned,Met2,%6.3f,Ts2cmB,Ts2cmB,NaN,NaN,Ts2cmB
SoilTemp_B_5cm,degC,SoilTemp_B_5cm,met,Final_Cleaned,Met2,%6.3f,Ts5cmB,Ts5cmB,NaN,NaN,Ts5cmB
SoilTemp_B_10cm,degC,SoilTemp_B_10cm,met,Final_Cleaned,Met2,%6.3f,Ts10cmB,Ts10cmB,NaN,NaN,Ts10cmB
SoilTemp_B_20cm,degC,SoilTemp_B_20cm,met,Final_Cleaned,Met2,%6.3f,Ts20cmB,Ts20cmB,NaN,NaN,Ts20cmB
SoilTemp_B_50cm,degC,SoilTemp_B_50cm,met,Final_Cleaned,Met2,%6.3f,Ts50cmB,Ts50cmB,NaN,NaN,Ts50cmB
SoilTemp_B_100cm,degC,SoilTemp_B_100cm,met,Final_Cleaned,Met2,%6.3f,Ts100cmB,Ts100cmB,NaN,NaN,Ts100cmB
SWP_A_2cm,kPa,SWP_A_2cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP2cmA
SWP_A_5cm,kPa,SWP_A_5cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP5cmA
SWP_A_10cm,kPa,SWP_A_10cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP10cmA
SWP_A_20cm,kPa,SWP_A_20cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP20cmA
SWP_A_50cm,kPa,SWP_A_50cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP50cmA
SWP_A_100cm,kPa,SWP_A_100cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP100cmA
SWP_B_2cm,kPa,SWP_B_2cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP2cmB
SWP_B_5cm,kPa,SWP_B_5cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP5cmB
SWP_B_10cm,kPa,SWP_B_10cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP10cmB
SWP_B_20cm,kPa,SWP_B_20cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP20cmB
SWP_B_50cm,kPa,SWP_B_50cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP50cmB
SWP_B_100cm,kPa,SWP_B_100cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP100cmB
