48200		48247		48285		48317
%1			1			72043		72063
83553		83563		83569		83596
%1			1			100144	100155
120996	121009	121021	121030
%1			1			134702	134722
%151959	151963	1			1
%1			1			1			1
187230	187244	187263	187285
209555	209567	209582	209606
228989	229006	229028	229054
246269	246289	246314	246332
256351	256369	256392	256415
256710  	256729	256743	256775
263549	263570	263593	263616
263910	263930	263941	263973
277957	277968	277988	278016
