Tree,D_cm,r_cm,wa_cm2,sw_cm2,wa_m2,sw_m2,AsAw
1,19.1,9.55,286.5,57.8,0.0287,0.00578,0.202
2,21.6,10.8,366.4,76.0,0.0366,0.00760,0.207
3,22.2,11.1,387.1,80.8,0.0387,0.00808,0.209
4,12.7,6.35,126.7,23.3,0.0127,0.00233,0.184
5,20.9,10.45,343.1,70.6,0.0343,0.00706,0.206
6,23.8,11.9,444.9,94.3,0.0445,0.00943,0.212
7,16.3,8.15,208.7,40.6,0.0209,0.00406,0.195
8,16,8,201.1,39.0,0.0201,0.00390,0.194
9,19.8,9.9,307.9,62.6,0.0308,0.00626,0.203
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,18.8,9.4,277.6,55.8,0.0278,0.00558,0.201
14,18.21,9.10,260.4,52.0,0.0260,0.00520,0.200
15,20.7,10.35,336.5,69.1,0.0337,0.00691,0.205
16,21.23,10.62,354.0,73.1,0.0354,0.00731,0.207
17,16.5,8.25,213.8,41.7,0.0214,0.00417,0.195
