Tree,D_cm,r_cm,wa_cm2,sw_cm2,wa_m2,sw_m2,AsAw
1,43.32197551,21.66098775,1474.030217,357.6746443,0.147403022,0.035767464,0.242650819
2,26.35605858,13.17802929,545.5704125,118.3545595,0.054557041,0.011835456,0.216937279
3,38.51549623,19.25774811,1165.093761,275.3156158,0.116509376,0.027531562,0.236303403
4,48.79690555,24.39845278,1870.141405,466.1286461,0.187014141,0.046612865,0.24924781
5,37.43324262,18.71662131,1100.537333,258.3953749,0.110053733,0.025839537,0.234790191
6,44.88169395,22.44084698,1582.079712,386.9657212,0.158207971,0.038696572,0.244593062
7,38.48366524,19.24183262,1163.168782,274.809519,0.116316878,0.027480952,0.236259367
8,33.93183387,16.96591693,904.2833726,207.6687579,0.090428337,0.020766876,0.229650093
9,31.83098862,15.91549431,795.7747155,180.1359035,0.079577472,0.01801359,0.226365447
10,41.47577817,20.73788908,1351.073474,324.6366774,0.135107347,0.032463668,0.240280553
11,31.99014356,15.99507178,803.752357,182.1464184,0.080375236,0.018214642,0.226620075
12,38.51549623,19.25774811,1165.093761,275.3156158,0.116509376,0.027531562,0.236303403
13,55.35408921,27.6770446,2406.519028,617.1105511,0.240651903,0.061711055,0.256432857
14,45.8684546,22.9342273,1652.411077,406.1543462,0.165241108,0.040615435,0.245794981
15,36.60563691,18.30281846,1052.412061,245.8539872,0.105241206,0.024585399,0.233610008
16,44.43606011,22.21803006,1550.818498,378.467239,0.15508185,0.037846724,0.244043542
17,47.58732798,23.79366399,1778.576383,440.8052844,0.177857638,0.044080528,0.247841636
18,36.79662284,18.39831142,1063.4224,248.7176731,0.10634224,0.024871767,0.233884174
19,39.59774984,19.79887492,1231.49002,292.8286441,0.123149002,0.029282864,0.237784014
20,37.84704547,18.92352273,1125.003427,264.7951226,0.112500343,0.026479512,0.235372722
21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,28.29774888,14.14887444,628.9174689,138.6392693,0.062891747,0.013863927,0.220441118
23,40.13887665,20.06943832,1265.378086,301.8086173,0.126537809,0.030180862,0.238512601
