Tree,D_cm,r_cm,wa_cm2,sw_cm2,wa_m2,sw_m2,AsAw
1,43.1,21.55,1459.0,353.6,0.1459,0.03536,0.242
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,40,20,1256.6,299.5,0.1257,0.02995,0.238
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,40.2,20.1,1269.2,302.8,0.1269,0.03028,0.239
6,46.1,23.05,1669.1,410.7,0.1669,0.04107,0.246
7,38.2,19.1,1146.1,270.3,0.1146,0.02703,0.236
8,33.7,16.85,892.0,204.5,0.0892,0.02045,0.229
9,32.8,16.4,845.0,192.6,0.0845,0.01926,0.228
10,41.9,20.95,1378.9,332.1,0.1379,0.03321,0.241
11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,36.9,18.45,1069.4,250.3,0.1069,0.02503,0.234
13,53.9,26.95,2281.7,581.6,0.2282,0.05816,0.255
14,45.8,22.9,1647.5,404.8,0.1647,0.04048,0.246
15,36.5,18.25,1046.3,244.3,0.1046,0.02443,0.233
16,44.4,22.2,1548.3,377.8,0.1548,0.03778,0.244
17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,36.6,18.3,1052.1,245.8,0.1052,0.02458,0.234
19,40,20,1256.6,299.5,0.1257,0.02995,0.238
20,39.4,19.7,1219.2,289.6,0.1219,0.02896,0.238
21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,39.3,19.65,1213.0,288.0,0.1213,0.02880,0.237
24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
