1,1,0,40
1,2,0,40
1,3,0,40
1,4,0,40
1,5,0,40
1,6,0,40
1,7,0,40
1,8,0,40
2,1,95000,105000
2,2,95000,105000
2,3,95000,105000
2,4,95000,105000
2,5,95000,105000
2,6,95000,105000
2,7,95000,105000
2,8,95000,105000
3,1,-0.8,1.2
3,2,-0.8,1.2
3,3,-0.8,1.2
3,4,-0.8,1.2
3,5,-0.8,1.2
3,6,-0.8,1.2
3,7,-0.8,1.2
3,8,-0.8,1.2
4,1,-10000,10000
4,2,-10000,10000
4,3,-10000,10000
4,4,-10000,10000
4,5,-10000,10000
4,6,-10000,10000
4,7,-10000,10000
4,8,-10000,10000
5,1,-10000,10000
5,2,-10000,10000
5,3,-10000,10000
5,4,-10000,10000
5,5,-10000,10000
5,6,-10000,10000
5,7,-10000,10000
5,8,-10000,10000
6,1,-4,15
6,2,-4,15
6,3,-4,15
6,4,-4,15
6,5,-4,15
6,6,-4,15
6,7,-4,15
6,8,-4,15
7,1,200,1201
7,2,200,1201
7,3,200,1201
7,4,200,1201
7,5,200,1201
7,6,200,1201
7,7,200,1201
7,8,200,1201
8,1,0,40
8,2,0,40
8,3,0,40
8,4,0,40
8,5,0,40
8,6,0,40
8,7,0,40
8,8,0,40
9,1,51,52
9,2,51,52
9,3,51,52
9,4,51,52
9,5,51,52
9,6,51,52
9,7,51,52
9,8,51,52
10,1,50,100
10,2,50,100
10,3,50,100
10,4,50,100
10,5,50,100
10,6,50,100
10,7,50,100
10,8,50,100
11,1,-30,60
11,2,-30,60
11,3,-30,60
11,4,-30,60
11,5,-30,60
11,6,-30,60
11,7,-30,60
11,8,-30,60
