1,Fc
2,Ustar
3,Hs
4,Htc
5,LE_L
6,LE_K
7,Penergy
8,WUE
9,HR_coeff
10,B_L
11,B_K
12,Eta
13,Theta
14,Beta
15,BarometricP
16,Tair
17,CO2_irga
18,H2O_irga
19,u
20,v
21,w
22,T_s
23,u_std
24,v_std
25,w_std
26,Ts_std
