Tree,D_cm,r_cm,wa_cm2,sw_cm2,wa_m2,sw_m2,AsAw
1,37.29,18.64,1092.08,256.1871818,0.109208128,0.025618718,0.234586183914809
2,26.25,13.12,541.1,117.2748797,0.054109551,0.011727488,0.216736006550858
3,38.23,19.12,1147.89,270.7969041,0.114789372,0.02707969,0.235907641345054
4,49.29,24.65,1908.42,476.7576234,0.19084225,0.047675762,0.249817647821696
5,43.52,21.76,1487.42,361.2919815,0.148742105,0.036129198,0.242898256683943
6,44.63,22.32,1564.39,382.1556928,0.156439492,0.038215569,0.244283387215295
7,38.63,19.32,1172.09,277.1561506,0.117209136,0.027715615,0.2364629238458
8,33.5,16.75,881.41,201.8330682,0.088141309,0.020183307,0.228988055986325
9,31.62,15.81,785.22,177.4789761,0.078521828,0.017747898,0.226025023258501
10,41.18,20.59,1331.94,319.5241837,0.133193601,0.031952418,0.239894542681521
11,31.72,15.86,790.33,178.7640772,0.079032619,0.017876408,0.226190251900927
12,37.86,18.93,1125.77,264.9968658,0.112577371,0.026499687,0.235390885082936
13,55.37,27.69,2408.06,617.5508056,0.240806192,0.061755081,0.256451383110614
14,45.49,22.74,1625.2,398.7179432,0.162519553,0.039871794,0.245335365892866
15,37.27,18.64,1091.17,255.9503681,0.109117399,0.025595037,0.23456421464005
16,45.75,22.88,1644.15,403.8957805,0.164415062,0.040389578,0.245656191766664
17,47.51,23.75,1772.74,439.1954423,0.177273775,0.043919544,0.247749809581254
18,36.6,18.3,1051.83,245.7023972,0.105182887,0.02457024,0.233595413672188
19,39.5,19.75,1225.25,291.1785011,0.122525145,0.02911785,0.237647953813889
20,37.67,18.84,1114.5,262.0464387,0.111450269,0.026204644,0.23512409826485
21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,28.03,14.02,617.07,135.7369388,0.061707234,0.013573694,0.219969250282714
23,40.4,20.2,1281.895466,306.1954259,0.128189547,0.030619543,0.238861465045976
